,ID,IG,VD,VG,Curve,Name,Sample,number,absID,absIG
0,1.40E-11,-6.09E-11,0.1,-2,TFT lin RollOut,Jun-44,6,44,1.40E-11,6.09E-11
1,4.75E-12,-6.28E-12,0.1,-1.95,TFT lin RollOut,Jun-44,6,44,4.75E-12,6.28E-12
2,1.11E-11,-4.20E-11,0.1,-1.9,TFT lin RollOut,Jun-44,6,44,1.11E-11,4.20E-11
3,1.28E-11,-4.05E-11,0.1,-1.85,TFT lin RollOut,Jun-44,6,44,1.28E-11,4.05E-11
4,3.87E-12,-4.71E-12,0.1,-1.8,TFT lin RollOut,Jun-44,6,44,3.87E-12,4.71E-12
5,1.08E-11,-4.68E-11,0.1,-1.75,TFT lin RollOut,Jun-44,6,44,1.08E-11,4.68E-11
6,1.23E-11,-3.18E-11,0.1,-1.7,TFT lin RollOut,Jun-44,6,44,1.23E-11,3.18E-11
7,4.23E-12,-4.60E-12,0.1,-1.65,TFT lin RollOut,Jun-44,6,44,4.23E-12,4.60E-12
8,9.62E-12,-4.96E-11,0.1,-1.6,TFT lin RollOut,Jun-44,6,44,9.62E-12,4.96E-11
9,1.07E-11,-2.48E-11,0.1,-1.55,TFT lin RollOut,Jun-44,6,44,1.07E-11,2.48E-11
10,2.97E-12,-2.98E-12,0.1,-1.5,TFT lin RollOut,Jun-44,6,44,2.97E-12,2.98E-12
11,8.31E-12,-5.10E-11,0.1,-1.45,TFT lin RollOut,Jun-44,6,44,8.31E-12,5.10E-11
12,9.07E-12,-1.55E-11,0.1,-1.4,TFT lin RollOut,Jun-44,6,44,9.07E-12,1.55E-11
13,1.61E-12,-1.44E-12,0.1,-1.35,TFT lin RollOut,Jun-44,6,44,1.61E-12,1.44E-12
14,7.27E-12,-5.32E-11,0.1,-1.3,TFT lin RollOut,Jun-44,6,44,7.27E-12,5.32E-11
15,-4.10E-12,-8.20E-13,0.1,-1.25,TFT lin RollOut,Jun-44,6,44,4.10E-12,8.20E-13
16,1.72E-12,-7.70E-13,0.1,-1.2,TFT lin RollOut,Jun-44,6,44,1.72E-12,7.70E-13
17,-2.51E-12,3.91E-11,0.1,-1.15,TFT lin RollOut,Jun-44,6,44,2.51E-12,3.91E-11
18,-4.55E-12,2.50E-11,0.1,-1.1,TFT lin RollOut,Jun-44,6,44,4.55E-12,2.50E-11
19,3.23E-12,-3.08E-12,0.1,-1.05,TFT lin RollOut,Jun-44,6,44,3.23E-12,3.08E-12
20,-3.48E-12,4.35E-11,0.1,-1,TFT lin RollOut,Jun-44,6,44,3.48E-12,4.35E-11
21,-5.43E-12,1.64E-11,0.1,-0.95,TFT lin RollOut,Jun-44,6,44,5.43E-12,1.64E-11
22,2.11E-12,-1.46E-12,0.1,-0.9,TFT lin RollOut,Jun-44,6,44,2.11E-12,1.46E-12
23,-4.37E-12,4.66E-11,0.1,-0.85,TFT lin RollOut,Jun-44,6,44,4.37E-12,4.66E-11
24,-6.01E-12,1.23E-11,0.1,-0.8,TFT lin RollOut,Jun-44,6,44,6.01E-12,1.23E-11
25,1.04E-12,-1.63E-12,0.1,-0.75,TFT lin RollOut,Jun-44,6,44,1.04E-12,1.63E-12
26,-5.00E-12,4.90E-11,0.1,-0.7,TFT lin RollOut,Jun-44,6,44,5.00E-12,4.90E-11
27,5.70E-12,-1.95E-12,0.1,-0.65,TFT lin RollOut,Jun-44,6,44,5.70E-12,1.95E-12
28,-5.64E-13,5.80E-13,0.1,-0.6,TFT lin RollOut,Jun-44,6,44,5.64E-13,5.80E-13
29,3.71E-12,-4.22E-11,0.1,-0.55,TFT lin RollOut,Jun-44,6,44,3.71E-12,4.22E-11
30,5.48E-12,-1.73E-11,0.1,-0.5,TFT lin RollOut,Jun-44,6,44,5.48E-12,1.73E-11
31,-2.04E-12,3.78E-12,0.1,-0.45,TFT lin RollOut,Jun-44,6,44,2.04E-12,3.78E-12
32,4.43E-12,-4.60E-11,0.1,-0.4,TFT lin RollOut,Jun-44,6,44,4.43E-12,4.60E-11
33,6.29E-12,-9.94E-12,0.1,-0.35,TFT lin RollOut,Jun-44,6,44,6.29E-12,9.94E-12
34,-3.15E-13,4.06E-12,0.1,-0.3,TFT lin RollOut,Jun-44,6,44,3.15E-13,4.06E-12
35,6.77E-12,-4.87E-11,0.1,-0.25,TFT lin RollOut,Jun-44,6,44,6.77E-12,4.87E-11
36,-2.04E-12,3.29E-12,0.1,-0.2,TFT lin RollOut,Jun-44,6,44,2.04E-12,3.29E-12
37,1.09E-11,1.29E-12,0.1,-0.15,TFT lin RollOut,Jun-44,6,44,1.09E-11,1.29E-12
38,2.55E-11,4.58E-11,0.1,-0.1,TFT lin RollOut,Jun-44,6,44,2.55E-11,4.58E-11
39,8.19E-11,1.71E-11,0.1,-0.05,TFT lin RollOut,Jun-44,6,44,8.19E-11,1.71E-11
40,2.43E-10,-3.37E-11,0.1,0,TFT lin RollOut,Jun-44,6,44,2.43E-10,3.37E-11
41,5.35E-10,3.64E-12,0.1,0.05,TFT lin RollOut,Jun-44,6,44,5.35E-10,3.64E-12
42,9.98E-10,-4.34E-11,0.1,0.1,TFT lin RollOut,Jun-44,6,44,9.98E-10,4.34E-11
43,1.54E-09,3.10E-12,0.1,0.15,TFT lin RollOut,Jun-44,6,44,1.54E-09,3.10E-12
44,2.17E-09,5.38E-11,0.1,0.2,TFT lin RollOut,Jun-44,6,44,2.17E-09,5.38E-11
45,2.77E-09,-5.00E-13,0.1,0.25,TFT lin RollOut,Jun-44,6,44,2.77E-09,5.00E-13
46,3.32E-09,4.96E-12,0.1,0.3,TFT lin RollOut,Jun-44,6,44,3.32E-09,4.96E-12
47,4.04E-09,4.06E-11,0.1,0.35,TFT lin RollOut,Jun-44,6,44,4.04E-09,4.06E-11
48,4.77E-09,-2.61E-11,0.1,0.4,TFT lin RollOut,Jun-44,6,44,4.77E-09,2.61E-11
49,5.60E-09,5.39E-12,0.1,0.45,TFT lin RollOut,Jun-44,6,44,5.60E-09,5.39E-12
50,6.68E-09,1.46E-11,0.1,0.5,TFT lin RollOut,Jun-44,6,44,6.68E-09,1.46E-11
51,7.86E-09,-5.03E-11,0.1,0.55,TFT lin RollOut,Jun-44,6,44,7.86E-09,5.03E-11
52,9.15E-09,4.60E-13,0.1,0.6,TFT lin RollOut,Jun-44,6,44,9.15E-09,4.60E-13
53,1.05E-08,-1.37E-11,0.1,0.65,TFT lin RollOut,Jun-44,6,44,1.05E-08,1.37E-11
54,1.26E-08,-2.49E-11,0.1,0.7,TFT lin RollOut,Jun-44,6,44,1.26E-08,2.49E-11
55,1.52E-08,4.60E-11,0.1,0.75,TFT lin RollOut,Jun-44,6,44,1.52E-08,4.60E-11
56,1.80E-08,5.46E-12,0.1,0.8,TFT lin RollOut,Jun-44,6,44,1.80E-08,5.46E-12
57,2.15E-08,1.23E-12,0.1,0.85,TFT lin RollOut,Jun-44,6,44,2.15E-08,1.23E-12
58,2.56E-08,5.51E-11,0.1,0.9,TFT lin RollOut,Jun-44,6,44,2.56E-08,5.51E-11
59,3.05E-08,-1.84E-11,0.1,0.95,TFT lin RollOut,Jun-44,6,44,3.05E-08,1.84E-11
60,3.64E-08,1.83E-12,0.1,1,TFT lin RollOut,Jun-44,6,44,3.64E-08,1.83E-12
61,4.31E-08,8.89E-12,0.1,1.05,TFT lin RollOut,Jun-44,6,44,4.31E-08,8.89E-12
62,5.14E-08,-4.82E-11,0.1,1.1,TFT lin RollOut,Jun-44,6,44,5.14E-08,4.82E-11
63,6.08E-08,5.56E-12,0.1,1.15,TFT lin RollOut,Jun-44,6,44,6.08E-08,5.56E-12
64,7.18E-08,5.35E-12,0.1,1.2,TFT lin RollOut,Jun-44,6,44,7.18E-08,5.35E-12
65,8.51E-08,-3.45E-11,0.1,1.25,TFT lin RollOut,Jun-44,6,44,8.51E-08,3.45E-11
66,1.00E-07,5.79E-12,0.1,1.3,TFT lin RollOut,Jun-44,6,44,1.00E-07,5.79E-12
67,1.18E-07,2.06E-12,0.1,1.35,TFT lin RollOut,Jun-44,6,44,1.18E-07,2.06E-12
68,1.38E-07,-4.93E-11,0.1,1.4,TFT lin RollOut,Jun-44,6,44,1.38E-07,4.93E-11
69,1.60E-07,5.88E-12,0.1,1.45,TFT lin RollOut,Jun-44,6,44,1.60E-07,5.88E-12
70,1.86E-07,2.17E-11,0.1,1.5,TFT lin RollOut,Jun-44,6,44,1.86E-07,2.17E-11
71,2.14E-07,2.47E-11,0.1,1.55,TFT lin RollOut,Jun-44,6,44,2.14E-07,2.47E-11
72,2.46E-07,2.08E-12,0.1,1.6,TFT lin RollOut,Jun-44,6,44,2.46E-07,2.08E-12
73,2.80E-07,-4.70E-11,0.1,1.65,TFT lin RollOut,Jun-44,6,44,2.80E-07,4.70E-11
74,3.18E-07,6.48E-12,0.1,1.7,TFT lin RollOut,Jun-44,6,44,3.18E-07,6.48E-12
75,3.59E-07,3.91E-11,0.1,1.75,TFT lin RollOut,Jun-44,6,44,3.59E-07,3.91E-11
76,4.03E-07,1.07E-11,0.1,1.8,TFT lin RollOut,Jun-44,6,44,4.03E-07,1.07E-11
